episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
1,88,DEPLOY_TEAM,-1.75,-154.0,0,0,0,100.0
1,89,DEPLOY_TEAM,-1.75,-155.75,0,0,0,100.0
1,90,DEPLOY_TEAM,-1.75,-157.5,0,0,0,100.0
1,91,DEPLOY_TEAM,-1.75,-159.25,0,0,0,100.0
1,92,DEPLOY_TEAM,-1.75,-161.0,0,0,0,100.0
1,93,DEPLOY_TEAM,-1.75,-162.75,0,0,0,100.0
1,94,DEPLOY_TEAM,-1.75,-164.5,0,0,0,100.0
1,95,DEPLOY_TEAM,-1.75,-166.25,0,0,0,100.0
1,96,DEPLOY_TEAM,-1.75,-168.0,0,0,0,100.0
1,97,DEPLOY_TEAM,-1.75,-169.75,0,0,0,100.0
1,98,DEPLOY_TEAM,-1.75,-171.5,0,0,0,100.0
1,99,DEPLOY_TEAM,-1.75,-173.25,0,0,0,100.0
1,100,DEPLOY_TEAM,-1.75,-175.0,0,0,0,100.0
2,1,DEPLOY_TEAM,-1.75,-1.75,0,0,0,100.0
2,2,DEPLOY_TEAM,-1.75,-3.5,0,0,0,100.0
2,3,DEPLOY_TEAM,-1.75,-5.25,0,0,0,100.0
2,4,DEPLOY_TEAM,-1.75,-7.0,0,0,0,100.0
2,5,DEPLOY_TEAM,-1.75,-8.75,0,0,0,100.0
2,6,DEPLOY_TEAM,-1.75,-10.5,0,0,0,100.0
2,7,DEPLOY_TEAM,-1.75,-12.25,0,0,0,100.0
2,8,DEPLOY_TEAM,-1.75,-14.0,0,0,0,100.0
2,9,DEPLOY_TEAM,-1.75,-15.75,0,0,0,100.0
2,10,DEPLOY_TEAM,-1.75,-17.5,0,0,0,100.0
2,11,DEPLOY_TEAM,-1.75,-19.25,0,0,0,100.0
2,12,DEPLOY_TEAM,-1.75,-21.0,0,0,0,100.0
2,13,DEPLOY_TEAM,-1.75,-22.75,0,0,0,100.0
2,14,DEPLOY_TEAM,-1.75,-24.5,0,0,0,100.0
2,15,DEPLOY_TEAM,-1.75,-26.25,0,0,0,100.0
2,16,DEPLOY_TEAM,-1.75,-28.0,0,0,0,100.0
2,17,DEPLOY_TEAM,-1.75,-29.75,0,0,0,100.0
2,18,DEPLOY_TEAM,-1.75,-31.5,0,0,0,100.0
2,19,DEPLOY_TEAM,-1.75,-33.25,0,0,0,100.0
2,20,DEPLOY_TEAM,-1.75,-35.0,0,0,0,100.0
2,21,DEPLOY_TEAM,-1.75,-36.75,0,0,0,100.0
2,22,DEPLOY_TEAM,-1.75,-38.5,0,0,0,100.0
2,23,DEPLOY_TEAM,-1.75,-40.25,0,0,0,100.0
2,24,DEPLOY_TEAM,-1.75,-42.0,0,0,0,100.0
2,25,DEPLOY_TEAM,-1.75,-43.75,0,0,0,100.0
2,26,DEPLOY_TEAM,-1.75,-45.5,0,0,0,100.0
2,27,DEPLOY_TEAM,-1.75,-47.25,0,0,0,100.0
2,28,DEPLOY_TEAM,-1.75,-49.0,0,0,0,100.0
2,29,DEPLOY_TEAM,-1.75,-50.75,0,0,0,100.0
2,30,DEPLOY_TEAM,-1.75,-52.5,0,0,0,100.0
2,31,DEPLOY_TEAM,-1.75,-54.25,0,0,0,100.0
2,32,DEPLOY_TEAM,-1.75,-56.0,0,0,0,100.0
2,33,DEPLOY_TEAM,-1.75,-57.75,0,0,0,100.0
2,34,DEPLOY_TEAM,-1.75,-59.5,0,0,0,100.0
2,35,DEPLOY_TEAM,-1.75,-61.25,0,0,0,100.0
2,36,DEPLOY_TEAM,-1.75,-63.0,0,0,0,100.0
2,37,DEPLOY_TEAM,-1.75,-64.75,0,0,0,100.0
2,38,DEPLOY_TEAM,-1.75,-66.5,0,0,0,100.0
2,39,DEPLOY_TEAM,-1.75,-68.25,0,0,0,100.0
2,40,DEPLOY_TEAM,-1.75,-70.0,0,0,0,100.0
2,41,DEPLOY_TEAM,-1.75,-71.75,0,0,0,100.0
