episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
1,89,REPAIR,0.7,68.9,0,0,0,33.25
1,90,REPAIR,0.7,69.60000000000001,0,0,0,32.5
1,91,REPAIR,0.7,70.30000000000001,0,0,0,31.75
1,92,REPAIR,0.7,71.00000000000001,0,0,0,31.0
1,93,REPAIR,0.7,71.70000000000002,0,0,0,30.25
1,94,REPAIR,0.7,72.40000000000002,0,0,0,29.5
1,95,REPAIR,0.7,73.10000000000002,0,0,0,28.75
1,96,REPAIR,0.7,73.80000000000003,0,0,0,28.0
1,97,REPAIR,0.7,74.50000000000003,0,0,0,27.25
1,98,REPAIR,0.7,75.20000000000003,0,0,0,26.5
1,99,REPAIR,0.7,75.90000000000003,0,0,0,25.75
1,100,REPAIR,0.7,76.60000000000004,0,0,0,25.0
2,1,REPAIR,0.8,0.8,0,0,0,99.25
2,2,REPAIR,0.8,1.6,0,0,0,98.5
2,3,REPAIR,0.8,2.4000000000000004,0,0,0,97.75
2,4,REPAIR,0.8,3.2,0,0,0,97.0
2,5,REPAIR,0.8,4.0,0,0,0,96.25
2,6,REPAIR,0.8,4.8,0,0,0,95.5
2,7,REPAIR,0.8,5.6,0,0,0,94.75
2,8,REPAIR,0.8,6.3999999999999995,0,0,0,94.0
2,9,REPAIR,0.8,7.199999999999999,0,0,0,93.25
2,10,REPAIR,0.8,7.999999999999999,0,0,0,92.5
2,11,REPAIR,0.8,8.799999999999999,0,0,0,91.75
2,12,REPAIR,0.8,9.6,0,0,0,91.0
2,13,REPAIR,0.8,10.4,0,0,0,90.25
2,14,REPAIR,0.8,11.200000000000001,0,0,0,89.5
2,15,REPAIR,0.8,12.000000000000002,0,0,0,88.75
2,16,REPAIR,0.8,12.800000000000002,0,0,0,88.0
2,17,REPAIR,0.8,13.600000000000003,0,0,0,87.25
2,18,REPAIR,0.8,14.400000000000004,0,0,0,86.5
2,19,REPAIR,0.8,15.200000000000005,0,0,0,85.75
2,20,REPAIR,0.8,16.000000000000004,0,0,0,85.0
2,21,REPAIR,0.8,16.800000000000004,0,0,0,84.25
2,22,REPAIR,0.8,17.600000000000005,0,0,0,83.5
2,23,REPAIR,0.8,18.400000000000006,0,0,0,82.75
2,24,REPAIR,0.8,19.200000000000006,0,0,0,82.0
2,25,REPAIR,0.8,20.000000000000007,0,0,0,81.25
2,26,REPAIR,0.8,20.800000000000008,0,0,0,80.5
2,27,REPAIR,0.8,21.60000000000001,0,0,0,79.75
2,28,REPAIR,0.8,22.40000000000001,0,0,0,79.0
2,29,REPAIR,0.8,23.20000000000001,0,0,0,78.25
2,30,REPAIR,0.8,24.00000000000001,0,0,0,77.5
2,31,REPAIR,0.8,24.80000000000001,0,0,0,76.75
2,32,REPAIR,0.8,25.600000000000012,0,0,0,76.0
2,33,REPAIR,0.8,26.400000000000013,0,0,0,75.25
2,34,REPAIR,0.8,27.200000000000014,0,0,0,74.5
2,35,REPAIR,0.8,28.000000000000014,0,0,0,73.75
2,36,REPAIR,0.8,28.800000000000015,0,0,0,73.0
2,37,REPAIR,0.8,29.600000000000016,0,0,0,72.25
2,38,REPAIR,0.8,30.400000000000016,0,0,0,71.5
2,39,REPAIR,0.8,31.200000000000017,0,0,0,70.75
2,40,REPAIR,0.8,32.000000000000014,0,0,0,70.0
2,41,REPAIR,0.8,32.80000000000001,0,0,0,69.25
2,42,REPAIR,0.8,33.60000000000001,0,0,0,68.5
2,43,REPAIR,0.8,34.400000000000006,0,0,0,67.75
2,44,REPAIR,0.8,35.2,0,0,0,67.0
2,45,REPAIR,0.8,36.0,0,0,0,66.25
2,46,REPAIR,0.8,36.8,0,0,0,65.5
2,47,REPAIR,0.8,37.599999999999994,0,0,0,64.75
2,48,REPAIR,0.8,38.39999999999999,0,0,0,64.0
2,49,REPAIR,0.8,39.19999999999999,0,0,0,63.25
2,50,REPAIR,0.8,39.999999999999986,0,0,0,62.5
2,51,REPAIR,0.8,40.79999999999998,0,0,0,61.75
2,52,REPAIR,0.8,41.59999999999998,0,0,0,61.0
2,53,REPAIR,0.8,42.39999999999998,0,0,0,60.25
2,54,REPAIR,0.8,43.199999999999974,0,0,0,59.5
2,55,REPAIR,0.8,43.99999999999997,0,0,0,58.75
2,56,REPAIR,0.8,44.79999999999997,0,0,0,58.0
2,57,REPAIR,0.8,45.599999999999966,0,0,0,57.25
2,58,REPAIR,0.8,46.39999999999996,0,0,0,56.5
2,59,REPAIR,0.8,47.19999999999996,0,0,0,55.75
2,60,REPAIR,0.8,47.99999999999996,0,0,0,55.0
2,61,REPAIR,0.8,48.799999999999955,0,0,0,54.25
2,62,REPAIR,0.8,49.59999999999995,0,0,0,53.5
2,63,REPAIR,0.8,50.39999999999995,0,0,0,52.75
2,64,REPAIR,0.8,51.199999999999946,0,0,0,52.0
2,65,REPAIR,0.8,51.99999999999994,0,0,0,51.25
2,66,REPAIR,0.8,52.79999999999994,0,0,0,50.5
2,67,REPAIR,0.7,53.49999999999994,0,0,0,49.75
2,68,REPAIR,0.7,54.199999999999946,0,0,0,49.0
2,69,REPAIR,0.7,54.89999999999995,0,0,0,48.25
2,70,REPAIR,0.7,55.59999999999995,0,0,0,47.5
2,71,REPAIR,0.7,56.299999999999955,0,0,0,46.75
2,72,REPAIR,0.7,56.99999999999996,0,0,0,46.0
2,73,REPAIR,0.7,57.69999999999996,0,0,0,45.25
2,74,REPAIR,0.7,58.39999999999996,0,0,0,44.5
2,75,REPAIR,0.7,59.099999999999966,0,0,0,43.75
2,76,REPAIR,0.7,59.79999999999997,0,0,0,43.0
2,77,REPAIR,0.7,60.49999999999997,0,0,0,42.25
2,78,REPAIR,0.7,61.199999999999974,0,0,0,41.5
2,79,REPAIR,0.7,61.89999999999998,0,0,0,40.75
2,80,REPAIR,0.7,62.59999999999998,0,0,0,40.0
2,81,REPAIR,0.7,63.29999999999998,0,0,0,39.25
2,82,REPAIR,0.7,63.999999999999986,0,0,0,38.5
2,83,REPAIR,0.7,64.69999999999999,0,0,0,37.75
2,84,REPAIR,0.7,65.39999999999999,0,0,0,37.0
2,85,REPAIR,0.7,66.1,0,0,0,36.25
2,86,REPAIR,0.7,66.8,0,0,0,35.5
2,87,REPAIR,0.7,67.5,0,0,0,34.75
2,88,REPAIR,0.7,68.2,0,0,0,34.0
2,89,REPAIR,0.7,68.9,0,0,0,33.25
2,90,REPAIR,0.7,69.60000000000001,0,0,0,32.5
2,91,REPAIR,0.7,70.30000000000001,0,0,0,31.75
2,92,REPAIR,0.7,71.00000000000001,0,0,0,31.0
2,93,REPAIR,0.7,71.70000000000002,0,0,0,30.25
2,94,REPAIR,0.7,72.40000000000002,0,0,0,29.5
2,95,REPAIR,0.7,73.10000000000002,0,0,0,28.75
2,96,REPAIR,0.7,73.80000000000003,0,0,0,28.0
2,97,REPAIR,0.7,74.50000000000003,0,0,0,27.25
2,98,REPAIR,0.7,75.20000000000003,0,0,0,26.5
2,99,REPAIR,0.7,75.90000000000003,0,0,0,25.75
2,100,REPAIR,0.7,76.60000000000004,0,0,0,25.0
3,1,REPAIR,0.8,0.8,0,0,0,99.25
3,2,REPAIR,0.8,1.6,0,0,0,98.5
3,3,REPAIR,0.8,2.4000000000000004,0,0,0,97.75
3,4,REPAIR,0.8,3.2,0,0,0,97.0
3,5,REPAIR,0.8,4.0,0,0,0,96.25
3,6,REPAIR,0.8,4.8,0,0,0,95.5
3,7,REPAIR,0.8,5.6,0,0,0,94.75
3,8,REPAIR,0.8,6.3999999999999995,0,0,0,94.0
3,9,REPAIR,0.8,7.199999999999999,0,0,0,93.25
3,10,REPAIR,0.8,7.999999999999999,0,0,0,92.5
3,11,REPAIR,0.8,8.799999999999999,0,0,0,91.75
3,12,REPAIR,0.8,9.6,0,0,0,91.0
3,13,REPAIR,0.8,10.4,0,0,0,90.25
3,14,REPAIR,0.8,11.200000000000001,0,0,0,89.5
3,15,REPAIR,0.8,12.000000000000002,0,0,0,88.75
3,16,REPAIR,0.8,12.800000000000002,0,0,0,88.0
3,17,REPAIR,0.8,13.600000000000003,0,0,0,87.25
3,18,REPAIR,0.8,14.400000000000004,0,0,0,86.5
3,19,REPAIR,0.8,15.200000000000005,0,0,0,85.75
3,20,REPAIR,0.8,16.000000000000004,0,0,0,85.0
